version	date	compounds	named_compounds	assays	activities	documents	targets	cells	tissues	drug_warnings	drug_indications	drug_mechanisms
35	248 days	65310	-156	96156	350800	2229	405	106	0	0	0	0
34	302 days	31282	464	33794	438017	1262	200	2	0	40	3860	232
33	125 days	44778	0	73693	295856	2269	259	6	23	0	0	0
32	198 days	23265	338	38222	258459	930	67	15	2	343	2766	442
31	140 days	174321	36	40466	493618	1339	217	9	5	0	0	0
30	236 days	51915	166	74662	650835	2548	301	13	9	31	2914	454
29	167 days	18566	334	25004	1359582	1064	207	28	4	6	2914	855
28	242 days	125436	215	137188	1210210	4394	965	119	32	1256	5729	213
27	94 days	10697	12	50	69756	10	5	1	0	0	0	64
26	378 days	71559	937	95924	491765	3805	895	160	52	0	7802	78
25	276 days	50386	8	65104	296689	2410	391	3	0	0	294	0
24_1	0 days	0	0	0	0	0	0	0	0	0	0	0
24	348 days	93378	293	-241864	532594	2139	553	43	530	0	15659	687
23	182 days	48747	162	55464	304123	2509	314	5	14	0	931	471
22_1	50 days	0	0	551	-22	0	0	0	0	0	0	0
22	594 days	94504	75	33301	402602	2711	205	7	111	0	6622	35
21	9 days	128921	331	63889	447880	2892	245	-35	0	0	5951	1533
20	195 days	51484	106	42657	677399	2454	195	-6	0	0	0	27
19	112 days	52278	3093	63911	423623	3858	1165	-2	0	0	0	6
18	198 days	34567	3125	308173	342224	2021	58	-91	0	0	0	20
17	124 days	29431	9160	21365	657140	1182	-488	314	0	0	0	2213
16	105 days	40935	4	33577	910779	1360	274	0	0	0	0	0
15	196 days	41333	6955	34525	380316	2602	567	1432	0	0	0	0
14	140 days	69560	176	27053	3196188	1451	158	0	0	0	0	0
13	91 days	66493	-261	21559	1278221	1264	142	0	0	0	0	0
12	176 days	16931	394	13140	175701	902	100	0	0	0	0	0
11	0 days	59790	105	48591	810944	1892	231	0	0	0	0	0
10	154 days	342393	12413	34524	1637885	1530	281	0	0	0	0	0
9	60 days	21806	3746	10969	57283	632	3	0	0	0	0	0
8	63 days	33769	0	3803	24965	258	10	0	0	0	0	0
7	0 days	1875	0	3343	22481	175	24	0	0	0	0	0
6	88 days	21910	0	21929	138348	1405	561	0	0	0	0	0
5	12 days	13470	0	13178	82104	803	163	0	0	0	0	0
4	26 days	18112	0	14623	214394	839	0	0	0	0	0	0
3	144 days	29872	0	15738	86120	1026	138	0	0	0	0	0
2	40 days	77206	0	87034	467653	7657	1498	0	0	0	0	0
